TUBA4A_DOWN	110	152	0.46	89	0.27	0.59	Y	0.00000
TUBB_DOWN	83	1	0.00	1	0.00	1.00	N	0.49000
TUBB2A_DOWN	38	33	0.10	15	0.05	0.45	N	0.39200
TUBB2B_DOWN	36	29	0.09	14	0.04	0.48	N	0.32600
TUBB3_DOWN	39	21	0.06	11	0.03	0.52	N	0.17400
TUBB4_DOWN	105	239	0.73	98	0.30	0.41	N	0.92600
TUBG2_DOWN	81	19	0.06	12	0.04	0.63	N	0.29400
TYROBP_DOWN	25	7	0.02	2	0.01	0.29	N	0.93600
UBE2G1_DOWN	6	1	0.00	1	0.00	1.00	N	0.33800
UCHL1_DOWN	5	104	0.32	1	0.00	0.01	N	0.99800
UNC13B_DOWN	18	1	0.00	1	0.00	1.00	N	0.92400
UQCRC1_DOWN	38	1	0.00	1	0.00	1.00	N	0.88200
UQCRC2_DOWN	10	1	0.00	1	0.00	1.00	N	0.88200
UQCRFS1_DOWN	29	1	0.00	1	0.00	1.00	N	0.88200
VAMP2_DOWN	71	38	0.12	35	0.11	0.92	N	0.19400
VBP1_DOWN	26	1	0.00	1	0.00	1.00	N	0.33800
VDAC1_DOWN	13	3	0.01	1	0.00	0.33	N	0.88400
VIM_DOWN	56	2	0.01	2	0.01	1.00	N	0.98000
VIP_DOWN	15	198	0.60	10	0.03	0.05	N	0.96800
VIPR1_DOWN	4	212	0.65	7	0.02	0.03	N	0.98600
VSIG4_DOWN	2	7	0.02	3	0.01	0.43	N	0.39800
VTI1B_DOWN	15	3	0.01	1	0.00	0.33	N	0.89600
VWF_DOWN	56	5	0.02	3	0.01	0.60	N	0.88600
WASF1_DOWN	23	130	0.40	7	0.02	0.05	N	0.99800
WASF3_DOWN	7	72	0.22	1	0.00	0.01	N	0.89800
WIF1_DOWN	21	282	0.86	54	0.16	0.19	N	0.99600
WNT10B_DOWN	57	49	0.15	17	0.05	0.35	N	0.93200
YWHAB_DOWN	89	1	0.00	1	0.00	1.00	N	0.19400
YWHAH_DOWN	87	149	0.45	126	0.38	0.85	Y	0.00000
YWHAZ_DOWN	109	4	0.01	4	0.01	1.00	N	0.81000
ZBTB16_DOWN	37	40	0.12	26	0.08	0.65	N	0.06200
ZFPM2_DOWN	4	69	0.21	2	0.01	0.03	N	0.40000
ZIC1_DOWN	5	20	0.06	2	0.01	0.10	N	0.03000
ZMAT3_DOWN	1	5	0.02	3	0.01	0.60	Y	0.00000
ZNF302_DOWN	387	2	0.01	2	0.01	1.00	N	0.50400
ZNF331_DOWN	389	3	0.01	2	0.01	0.67	N	0.97400
ZNF415_DOWN	386	21	0.06	9	0.03	0.43	N	1.00000
ZNF638_DOWN	19	4	0.01	1	0.00	0.25	N	0.27400
ZNF91_DOWN	386	26	0.08	17	0.05	0.65	N	0.89400
